municipality,barangay,district,lat,lon
Alcala,Anulid,5,15.8479,120.50105
Alcala,Atainan,5,15.861267,120.509017
Alcala,Bersamin,5,15.837625,120.554212
Alcala,Canarvacanan,5,15.841114,120.540286
Alcala,Caranglaan,5,15.858829,120.498186
Alcala,Curareng,5,15.8638,120.522233
Alcala,Gualsic,5,15.87096,120.53908
Alcala,Kasikis,5,15.85285,120.544167
Alcala,Laoac,5,15.84218,120.51332
Alcala,Macayo,5,15.87914,120.55634
Alcala,PindanganCentro,5,15.862686,120.5499
Alcala,PindanganEast,5,15.86336,120.55856
Alcala,PindanganWest,5,15.86882,120.5512
Alcala,PoblacionEast,5,15.8475,120.524571
Alcala,PoblacionWest,5,15.84815,120.528937
Alcala,SanJuan,5,15.83908,120.52136
Alcala,SanNicolas,5,15.85454,120.5325
Alcala,SanPedroApartado,5,15.8492,120.56177
Alcala,SanPedroIli,5,15.85472,120.53864
Alcala,SanVicente,5,15.85475,120.516175
Alcala,Vacante,5,15.843429,120.568429
Asingan,AristonEste,6,16.039,120.69976
Asingan,AristonWeste,6,16.031715,120.694769
Asingan,Bantog,6,16.00277,120.684944
Asingan,Baro,6,16.000788,120.665987
Asingan,Bobonan,6,16.0401,120.6385
Asingan,Cabalitian,6,15.980733,120.653367
Asingan,Calepaan,6,16.026044,120.621267
Asingan,CarosucanNorte,6,15.979357,120.638829
Asingan,CarosucanSur,6,15.96051,120.63873
Asingan,Coldit,6,16.0387,120.64692
Asingan,Domanpot,6,16.001543,120.643914
Asingan,Dupac,6,16.029814,120.679436
Asingan,Macalong,6,16.01705,120.65456
Asingan,Palaris,6,16.035983,120.631283
Asingan,PoblacionEast,6,16.010838,120.672363
Asingan,PoblacionWest,6,16.009167,120.663333
Asingan,SanVicenteEste,6,16.037267,120.669433
Asingan,SanVicenteWeste,6,16.031492,120.6546
Asingan,Sanchez,6,15.989911,120.663578
Asingan,Sobol,6,16.01492,120.63005
Asingan,Toboy,6,16.028746,120.637646
Balungao,AngayanNorte,6,15.911458,120.695
Balungao,AngayanSur,6,15.90045,120.687892
Balungao,Capulaan,6,15.91538,120.65932
Balungao,Esmeralda,6,15.872327,120.709787
Balungao,Kita-Kita,6,15.89685,120.658475
Balungao,Mabini,6,15.859441,120.714159
Balungao,Mauban,6,15.8999,120.718029
Balungao,Poblacion,6,15.90165,120.66475
Balungao,Pugaro,6,15.895045,120.672755
Balungao,Rajal,6,15.910554,120.703369
Balungao,SanAndres,6,15.865917,120.675075
Balungao,SanAurelio1st,6,15.902922,120.678267
Balungao,SanAurelio2nd,6,15.893562,120.6835
Balungao,SanAurelio3rd,6,15.9173,120.68485
Balungao,SanJoaquin,6,15.940943,120.70345
Balungao,SanJulian,6,15.9371,120.671417
Balungao,SanLeon,6,15.92285,120.710383
Balungao,SanMarcelino,6,15.936125,120.655012
Balungao,SanMiguel,6,15.9276,120.65869
Balungao,SanRaymundo,6,15.926543,120.685443
Bautista,Artacho,5,15.82542,120.55934
Bautista,Baluyot,5,15.806614,120.474443
Bautista,Cabuaan,5,15.809444,120.480122
