municipality,barangay,district,lat,lon,elevation_m
Alcala,Anulid,5,15.8479,120.50105,21.0
Alcala,Atainan,5,15.861267,120.509017,22.0
Alcala,Bersamin,5,15.837625,120.554212,20.0
Alcala,Canarvacanan,5,15.841114,120.540286,20.0
Alcala,Caranglaan,5,15.858829,120.498186,25.0
Alcala,Curareng,5,15.8638,120.522233,25.0
Alcala,Gualsic,5,15.87096,120.53908,27.0
Alcala,Kasikis,5,15.85285,120.544167,22.0
Alcala,Laoac,5,15.84218,120.51332,28.0
Alcala,Macayo,5,15.87914,120.55634,31.0
Alcala,PindanganCentro,5,15.862686,120.5499,28.0
Alcala,PindanganEast,5,15.86336,120.55856,30.0
Alcala,PindanganWest,5,15.86882,120.5512,26.0
Alcala,PoblacionEast,5,15.8475,120.524571,27.0
Alcala,PoblacionWest,5,15.84815,120.528937,28.0
Alcala,SanJuan,5,15.83908,120.52136,23.0
Alcala,SanNicolas,5,15.85454,120.5325,25.0
Alcala,SanPedroApartado,5,15.8492,120.56177,21.0
Alcala,SanPedroIli,5,15.85472,120.53864,27.0
Alcala,SanVicente,5,15.85475,120.516175,24.0
Alcala,Vacante,5,15.843429,120.568429,21.0
Asingan,AristonEste,6,16.039,120.69976,54.0
Asingan,AristonWeste,6,16.031715,120.694769,53.0
Asingan,Bantog,6,16.00277,120.684944,42.0
Asingan,Baro,6,16.000788,120.665987,45.0
Asingan,Bobonan,6,16.0401,120.6385,51.0
Asingan,Cabalitian,6,15.980733,120.653367,35.0
Asingan,Calepaan,6,16.026044,120.621267,38.0
Asingan,CarosucanNorte,6,15.979357,120.638829,33.0
Asingan,CarosucanSur,6,15.96051,120.63873,35.0
Asingan,Coldit,6,16.0387,120.64692,50.0
Asingan,Domanpot,6,16.001543,120.643914,39.0
Asingan,Dupac,6,16.029814,120.679436,51.0
Asingan,Macalong,6,16.01705,120.65456,44.0
Asingan,Palaris,6,16.035983,120.631283,43.0
Asingan,PoblacionEast,6,16.010838,120.672363,48.0
Asingan,PoblacionWest,6,16.009167,120.663333,47.0
Asingan,SanVicenteEste,6,16.037267,120.669433,53.0
Asingan,SanVicenteWeste,6,16.031492,120.6546,46.0
Asingan,Sanchez,6,15.989911,120.663578,42.0
Asingan,Sobol,6,16.01492,120.63005,39.0
Asingan,Toboy,6,16.028746,120.637646,48.0
Balungao,AngayanNorte,6,15.911458,120.695,41.0
Balungao,AngayanSur,6,15.90045,120.687892,41.0
Balungao,Capulaan,6,15.91538,120.65932,39.0
Balungao,Esmeralda,6,15.872327,120.709787,71.0
Balungao,Kita-Kita,6,15.89685,120.658475,43.0
